"Manage Campaigns","Manage Campaigns"
"Title","Title"
"Status","Status"
"Store View","Store View"
"Add Campaign","Add Campaign"
"Campaign Manager","Campaign Manager"
"Edit Campaign '%s'","Edit Campaign '%s'"
"Campaign Information","Campaign Information"
"Campaign Variables","Campaign Variables"
"Delete Campaign","Delete Campaign"
"Save Campaign","Save Campaign"
"Cron Expression","Cron Expression"
"Delete","Delete"
"Change Status","Change Status"
"Edit","Edit"
"Send Mail","Send Mail"
"separated by ;","separated by ;"
"Test emails","Test emails"
"Connector","Connector"
"mails are sent through this connector","mails are sent through this connector"
"Send mail at","Send mail at"
"Search for wishlists older than","Search for wishlists older than"
"in days","in days"
"Event","Event"
"Campaign Planning","Campaign Planning"
"Campaign Usage","Campaign Usage"
"Manually run this campaign ?","Manually run this campaign ?"
"Send To All Test Emails","Send To All Test Emails"
"Email was sent to %s in test mode","Email was sent to %s in test mode"
"Email was sent to %s","Email was sent to %s"
"No customer match this campaign at this time","No customer match this campaign at this time"
"Email was sent to %i addresses in test mode","Email was sent to %i addresses in test mode"
"Email was sent to %i addresses","Email was sent to %i addresses"
"Process Campaign","Process Campaign"
"Stock is less than","Stock is less than"
"Wishlist Stock Alert","Wishlist Stock Alert"
"Wishlist Reminder","Wishlist Reminder"
"Abandoned Cart","Abandoned Cart"
"if you change this value, please save and continue edit before editing campaign variables","if you change this value, please save and continue edit before editing campaign variables"
"Quote is older than","Quote is older than"
"Campaign was successfully saved","Campaign was successfully saved"
"Campaign was successfully deleted","Campaign was successfully deleted"
"Send At (hour)","Send At (hour)"
"Send At (minute)","Send At (minute)"
"Customer Birthday","Customer Birthday"
"Send to customers after","Send to customers after"
"Welcome Reminder","Welcome Reminder"
"Inscription Anniversary","Inscription Anniversary"
"Create template","Create template"
"Campaign <a href=""%s"">%s</a> was processed and has targeted %s customer(s)","Campaign <a href=""%s"">%s</a> was processed and has targeted %s customer(s)"
"Campaign <a href=""%s"">%s</a> was processed but no one was targeted","Campaign <a href=""%s"">%s</a> was processed but no one was targeted"
"Order Success","Order Success"
"Preview","Preview"
"This action is only available for cron campaigns","This action is only available for cron campaigns"
"Recipients found for campaign '%s'","Recipients found for campaign '%s'"
"Last Run (Cron)","Last Run (Cron)"
"View Recipients","View Recipients"
"No test email found","No test email found"